date,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,VaccineRegisterPopulationByVaccinationDate,newVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate
2022-08-30,5.0,,,7.0,15.0,134974.0,283,1
2022-08-29,8.0,0.0,,0.0,1.0,134974.0,290,0
2022-08-28,7.0,0.0,,5.0,11.0,134974.0,167,4
2022-08-27,8.0,0.0,,7.0,1.0,134974.0,183,29
2022-08-26,13.0,0.0,1.0,9.0,10.0,134974.0,254,6
2022-08-25,7.0,0.0,1.0,11.0,12.0,134974.0,397,54
2022-08-24,9.0,0.0,4.0,5.0,15.0,134974.0,478,203
2022-08-23,12.0,1.0,1.0,2.0,6.0,134974.0,487,175
2022-08-22,18.0,1.0,2.0,4.0,4.0,134974.0,694,220
2022-08-21,14.0,0.0,2.0,1.0,10.0,134974.0,367,148
2022-08-20,11.0,0.0,1.0,4.0,12.0,134974.0,386,183
2022-08-19,8.0,0.0,6.0,12.0,17.0,134974.0,464,171
2022-08-18,22.0,0.0,6.0,9.0,29.0,134974.0,632,243
2022-08-17,19.0,0.0,3.0,8.0,8.0,134974.0,533,205
2022-08-16,13.0,0.0,1.0,3.0,9.0,134974.0,551,207
2022-08-15,19.0,0.0,1.0,2.0,3.0,134974.0,733,197
2022-08-14,19.0,0.0,0.0,2.0,10.0,134974.0,429,177
2022-08-13,22.0,1.0,1.0,0.0,1.0,134974.0,470,280
2022-08-12,31.0,0.0,1.0,6.0,18.0,134974.0,552,226
2022-08-11,28.0,2.0,2.0,3.0,13.0,134974.0,756,286
2022-08-10,22.0,1.0,2.0,3.0,9.0,134974.0,627,203
2022-08-09,21.0,0.0,1.0,4.0,12.0,134974.0,644,270
2022-08-08,24.0,2.0,1.0,4.0,9.0,134974.0,747,197
2022-08-07,17.0,0.0,0.0,2.0,18.0,134974.0,429,162
2022-08-06,17.0,0.0,1.0,6.0,9.0,134974.0,539,237
2022-08-05,13.0,1.0,0.0,17.0,16.0,134974.0,667,249
2022-08-04,30.0,0.0,2.0,7.0,15.0,134974.0,729,219
2022-08-03,16.0,0.0,4.0,9.0,18.0,134974.0,711,283
2022-08-02,29.0,0.0,1.0,0.0,9.0,134974.0,692,280
2022-08-01,33.0,0.0,1.0,4.0,4.0,134974.0,806,223
2022-07-31,21.0,1.0,3.0,7.0,13.0,134974.0,465,197
2022-07-30,25.0,0.0,1.0,11.0,19.0,134974.0,496,214
2022-07-29,14.0,2.0,2.0,11.0,9.0,134974.0,691,294
2022-07-28,23.0,0.0,3.0,16.0,15.0,134974.0,751,269
2022-07-27,34.0,0.0,4.0,5.0,22.0,134974.0,782,307
2022-07-26,25.0,1.0,1.0,9.0,11.0,134974.0,679,222
2022-07-25,31.0,1.0,3.0,8.0,7.0,134974.0,866,247
2022-07-24,34.0,0.0,2.0,7.0,16.0,134974.0,572,204
2022-07-23,33.0,0.0,5.0,8.0,22.0,134974.0,507,221
2022-07-22,35.0,0.0,4.0,5.0,19.0,134974.0,764,332
2022-07-21,44.0,0.0,5.0,22.0,15.0,134974.0,853,322
2022-07-20,48.0,2.0,5.0,10.0,17.0,134974.0,816,340
2022-07-19,62.0,0.0,2.0,3.0,10.0,134974.0,670,225
2022-07-18,51.0,2.0,0.0,4.0,14.0,134974.0,878,249
2022-07-17,61.0,1.0,2.0,15.0,20.0,134974.0,908,520
2022-07-16,67.0,1.0,3.0,21.0,28.0,134974.0,499,139
2022-07-15,65.0,2.0,4.0,12.0,18.0,134974.0,778,264
2022-07-14,75.0,1.0,1.0,11.0,18.0,134974.0,1110,521
2022-07-13,69.0,0.0,4.0,8.0,24.0,134974.0,906,340
2022-07-12,100.0,0.0,0.0,1.0,7.0,134974.0,787,182
2022-07-11,104.0,0.0,0.0,7.0,16.0,134974.0,1024,282
2022-07-10,68.0,0.0,5.0,7.0,10.0,134974.0,732,316
2022-07-09,58.0,0.0,2.0,10.0,4.0,134974.0,568,211
2022-07-08,71.0,0.0,5.0,15.0,17.0,134974.0,730,174
2022-07-07,79.0,0.0,7.0,9.0,21.0,134974.0,868,297
2022-07-06,102.0,0.0,5.0,13.0,15.0,134974.0,866,278
2022-07-05,98.0,0.0,1.0,9.0,10.0,134974.0,847,275
2022-07-04,109.0,0.0,3.0,7.0,14.0,134974.0,1013,221
2022-07-03,77.0,0.0,2.0,11.0,8.0,134974.0,644,266
2022-07-02,48.0,2.0,2.0,16.0,22.0,134974.0,482,181
2022-07-01,62.0,0.0,1.0,17.0,13.0,134974.0,684,217
2022-06-30,75.0,1.0,4.0,18.0,16.0,134974.0,766,259
2022-06-29,71.0,0.0,7.0,11.0,22.0,134974.0,745,298
2022-06-28,63.0,1.0,1.0,5.0,10.0,134974.0,798,308
2022-06-27,55.0,1.0,2.0,8.0,18.0,134974.0,850,214
2022-06-26,45.0,0.0,0.0,4.0,9.0,134974.0,493,195
2022-06-25,39.0,1.0,4.0,16.0,14.0,134974.0,453,201
2022-06-24,44.0,0.0,9.0,12.0,29.0,134974.0,674,269
2022-06-23,41.0,0.0,2.0,15.0,19.0,134974.0,735,277
2022-06-22,39.0,0.0,0.0,6.0,10.0,134974.0,660,252
2022-06-21,30.0,0.0,0.0,1.0,12.0,134974.0,694,256
2022-06-20,40.0,0.0,2.0,4.0,10.0,134974.0,792,230
2022-06-19,18.0,0.0,4.0,6.0,14.0,134974.0,549,232
2022-06-18,23.0,0.0,2.0,11.0,22.0,134974.0,459,197
2022-06-17,27.0,0.0,7.0,19.0,28.0,134974.0,581,173
2022-06-16,15.0,0.0,10.0,15.0,12.0,134974.0,666,248
2022-06-15,20.0,0.0,1.0,10.0,14.0,134974.0,579,253
2022-06-14,41.0,1.0,2.0,3.0,12.0,134974.0,657,247
2022-06-13,37.0,0.0,1.0,10.0,11.0,134974.0,771,230
2022-06-12,26.0,0.0,8.0,5.0,19.0,134974.0,500,211
2022-06-11,14.0,1.0,4.0,21.0,27.0,134974.0,426,214
2022-06-10,15.0,0.0,13.0,13.0,19.0,134974.0,597,232
2022-06-09,14.0,0.0,4.0,18.0,16.0,134974.0,706,247
2022-06-08,19.0,0.0,3.0,14.0,12.0,134974.0,639,241
2022-06-07,15.0,0.0,1.0,6.0,21.0,134974.0,625,233
2022-06-06,17.0,0.0,5.0,16.0,12.0,134974.0,867,295
2022-06-05,14.0,0.0,1.0,6.0,16.0,134974.0,475,189
2022-06-04,8.0,0.0,3.0,8.0,15.0,134974.0,433,190
2022-06-03,9.0,1.0,0.0,0.0,5.0,134974.0,546,225
2022-06-02,11.0,0.0,3.0,5.0,8.0,134974.0,554,205
2022-06-01,5.0,0.0,1.0,15.0,17.0,134974.0,592,271
2022-05-31,14.0,1.0,3.0,8.0,29.0,134974.0,596,226
2022-05-30,12.0,0.0,7.0,21.0,18.0,134974.0,735,244
2022-05-29,6.0,0.0,2.0,14.0,20.0,134974.0,518,217
2022-05-28,8.0,0.0,7.0,12.0,30.0,134974.0,450,188
2022-05-27,7.0,0.0,4.0,12.0,22.0,134974.0,581,233
2022-05-26,7.0,0.0,6.0,11.0,24.0,134974.0,677,207
2022-05-25,15.0,0.0,4.0,5.0,10.0,134974.0,667,278
2022-05-24,18.0,0.0,5.0,11.0,18.0,134974.0,718,305
2022-05-23,13.0,1.0,0.0,14.0,19.0,134974.0,907,244
2022-05-22,8.0,0.0,4.0,7.0,10.0,134974.0,557,231
2022-05-21,7.0,1.0,4.0,17.0,57.0,134974.0,504,228
2022-05-20,16.0,2.0,11.0,17.0,28.0,134974.0,668,247
2022-05-19,11.0,0.0,9.0,40.0,32.0,134974.0,736,271
2022-05-18,16.0,0.0,9.0,13.0,19.0,134974.0,745,293
2022-05-17,15.0,0.0,5.0,1.0,24.0,134974.0,722,307
2022-05-16,28.0,0.0,10.0,16.0,22.0,134974.0,934,279
2022-05-15,14.0,1.0,3.0,18.0,19.0,134974.0,520,184
2022-05-14,9.0,0.0,11.0,34.0,44.0,134974.0,537,272
2022-05-13,15.0,1.0,5.0,9.0,29.0,134974.0,790,352
2022-05-12,14.0,0.0,12.0,37.0,16.0,134974.0,1004,425
2022-05-11,18.0,0.0,7.0,22.0,31.0,134974.0,781,303
2022-05-10,27.0,0.0,7.0,9.0,33.0,134974.0,896,398
2022-05-09,27.0,0.0,6.0,11.0,11.0,134974.0,1186,373
2022-05-08,25.0,0.0,1.0,17.0,27.0,134974.0,643,253
2022-05-07,14.0,1.0,11.0,18.0,69.0,134974.0,639,301
2022-05-06,18.0,1.0,8.0,13.0,30.0,134974.0,835,270
2022-05-05,41.0,0.0,16.0,56.0,59.0,134974.0,992,304
2022-05-04,27.0,1.0,9.0,13.0,36.0,134974.0,989,380
2022-05-03,39.0,0.0,5.0,10.0,32.0,134974.0,1029,323
2022-05-02,32.0,3.0,0.0,1.0,0.0,134974.0,975,258
2022-05-01,36.0,0.0,4.0,15.0,14.0,134974.0,683,215
2022-04-30,18.0,0.0,10.0,21.0,64.0,134974.0,726,298
2022-04-29,21.0,0.0,4.0,10.0,39.0,134974.0,837,266
2022-04-28,31.0,1.0,14.0,22.0,37.0,134974.0,1134,325
2022-04-27,34.0,0.0,7.0,18.0,50.0,134974.0,940,289
2022-04-26,38.0,1.0,4.0,10.0,51.0,134974.0,1095,390
2022-04-25,41.0,3.0,2.0,21.0,23.0,134974.0,1254,303
2022-04-24,35.0,1.0,5.0,9.0,15.0,134974.0,786,251
2022-04-23,28.0,0.0,7.0,20.0,45.0,134974.0,815,336
2022-04-22,25.0,1.0,17.0,39.0,61.0,134974.0,1097,356
2022-04-21,41.0,0.0,14.0,40.0,29.0,134974.0,1176,354
2022-04-20,40.0,3.0,9.0,30.0,45.0,134974.0,1111,322
2022-04-19,57.0,0.0,7.0,10.0,35.0,134974.0,1264,352
2022-04-18,65.0,0.0,1.0,1.0,1.0,134974.0,1124,257
2022-04-17,44.0,1.0,0.0,2.0,1.0,134974.0,764,212
2022-04-16,44.0,1.0,5.0,14.0,6.0,134974.0,726,205
2022-04-15,39.0,0.0,4.0,15.0,7.0,134974.0,974,350
2022-04-14,64.0,0.0,15.0,28.0,36.0,134974.0,1366,449
2022-04-13,69.0,2.0,10.0,30.0,33.0,134974.0,1144,342
2022-04-12,80.0,1.0,14.0,23.0,67.0,134974.0,1364,441
2022-04-11,73.0,1.0,11.0,13.0,25.0,134974.0,1533,285
2022-04-10,57.0,1.0,6.0,24.0,44.0,134974.0,857,142
2022-04-09,48.0,0.0,3.0,40.0,34.0,134974.0,1083,441
2022-04-08,78.0,2.0,10.0,26.0,31.0,134974.0,1659,745
2022-04-07,69.0,2.0,12.0,26.0,33.0,134974.0,1624,569
2022-04-06,90.0,2.0,7.0,19.0,24.0,134974.0,1901,828
2022-04-05,107.0,0.0,7.0,13.0,28.0,134974.0,1849,768
2022-04-04,113.0,1.0,2.0,6.0,8.0,134974.0,2211,833
2022-04-03,90.0,0.0,7.0,11.0,38.0,134974.0,1708,756
2022-04-02,91.0,2.0,5.0,26.0,21.0,134974.0,1564,734
2022-04-01,106.0,2.0,8.0,23.0,29.0,134974.0,1788,646
2022-03-31,105.0,0.0,7.0,21.0,36.0,134974.0,1897,637
2022-03-30,187.0,0.0,6.0,11.0,19.0,134974.0,2217,873
2022-03-29,179.0,0.0,6.0,11.0,33.0,134974.0,2124,723
2022-03-28,183.0,1.0,5.0,12.0,16.0,134974.0,1981,582
2022-03-27,170.0,1.0,8.0,11.0,18.0,134974.0,1670,561
2022-03-26,128.0,0.0,7.0,33.0,33.0,134974.0,1507,587
2022-03-25,170.0,1.0,9.0,28.0,29.0,134974.0,1803,548
2022-03-24,154.0,1.0,7.0,23.0,21.0,134974.0,2216,771
2022-03-23,194.0,0.0,23.0,40.0,37.0,134974.0,2018,598
2022-03-22,196.0,2.0,24.0,45.0,42.0,134974.0,2126,664
2022-03-21,174.0,1.0,15.0,50.0,9.0,134974.0,2086,561
2022-03-20,149.0,1.0,1.0,21.0,15.0,134974.0,1611,513
2022-03-19,129.0,0.0,11.0,20.0,27.0,134974.0,1455,566
2022-03-18,131.0,1.0,13.0,17.0,28.0,134974.0,1804,535
2022-03-17,129.0,1.0,10.0,34.0,23.0,134974.0,1973,581
2022-03-16,145.0,0.0,17.0,58.0,20.0,134974.0,2304,831
2022-03-15,148.0,1.0,34.0,53.0,37.0,134974.0,2129,678
2022-03-14,148.0,1.0,7.0,17.0,10.0,134974.0,2384,824
2022-03-13,121.0,1.0,2.0,23.0,15.0,134974.0,1761,606
2022-03-12,75.0,1.0,12.0,31.0,33.0,134974.0,1426,537
2022-03-11,128.0,1.0,15.0,15.0,35.0,134974.0,2046,825
2022-03-10,119.0,1.0,11.0,29.0,45.0,134974.0,2229,835
2022-03-09,117.0,0.0,11.0,21.0,40.0,134974.0,2346,959
2022-03-08,112.0,0.0,31.0,123.0,46.0,134974.0,2067,704
2022-03-07,113.0,2.0,3.0,20.0,13.0,134974.0,2330,882
2022-03-06,78.0,0.0,3.0,25.0,21.0,134974.0,1405,392
2022-03-05,48.0,2.0,10.0,24.0,35.0,134974.0,1207,429
2022-03-04,57.0,1.0,9.0,23.0,31.0,134974.0,1722,552
2022-03-03,96.0,2.0,3.0,14.0,25.0,134974.0,1984,708
2022-03-02,76.0,1.0,17.0,55.0,35.0,134974.0,2003,688
2022-03-01,55.0,2.0,9.0,21.0,45.0,134974.0,2011,708
2022-02-28,81.0,0.0,9.0,20.0,20.0,134974.0,2076,620
2022-02-27,40.0,0.0,12.0,23.0,17.0,134974.0,1438,397
2022-02-26,28.0,0.0,13.0,44.0,41.0,134974.0,1227,438
2022-02-25,37.0,1.0,15.0,19.0,37.0,134974.0,1742,602
2022-02-24,53.0,0.0,27.0,62.0,38.0,134974.0,1953,622
2022-02-23,52.0,0.0,14.0,24.0,47.0,134974.0,2120,639
2022-02-22,63.0,0.0,26.0,32.0,77.0,134974.0,1950,642
2022-02-21,53.0,1.0,4.0,5.0,18.0,134974.0,2380,677
2022-02-20,71.0,1.0,3.0,16.0,12.0,134974.0,1747,384
2022-02-19,50.0,0.0,20.0,47.0,39.0,134974.0,1494,574
2022-02-18,64.0,0.0,14.0,32.0,44.0,134974.0,1780,522
2022-02-17,49.0,0.0,20.0,32.0,62.0,134974.0,2179,727
2022-02-16,66.0,1.0,21.0,71.0,67.0,134974.0,2235,702
2022-02-15,60.0,0.0,7.0,22.0,47.0,134974.0,2219,851
2022-02-14,85.0,2.0,8.0,25.0,29.0,134974.0,2514,912
2022-02-13,44.0,0.0,8.0,18.0,19.0,134974.0,1571,460
2022-02-12,52.0,0.0,23.0,83.0,69.0,134974.0,1849,954
2022-02-11,65.0,1.0,12.0,32.0,62.0,134974.0,2038,677
2022-02-10,73.0,1.0,20.0,50.0,63.0,134974.0,2344,821
2022-02-09,93.0,4.0,10.0,22.0,24.0,134974.0,2604,874
2022-02-08,82.0,0.0,6.0,16.0,29.0,134974.0,2509,980
2022-02-07,137.0,1.0,25.0,39.0,34.0,134974.0,2854,897
2022-02-06,97.0,0.0,20.0,31.0,83.0,134974.0,2044,569
2022-02-05,64.0,1.0,25.0,71.0,46.0,134974.0,1836,783
2022-02-04,79.0,1.0,23.0,56.0,47.0,134974.0,2447,913
2022-02-03,110.0,2.0,28.0,35.0,59.0,134974.0,2726,991
2022-02-02,130.0,0.0,19.0,21.0,31.0,134974.0,2994,1000
2022-02-01,152.0,2.0,17.0,19.0,52.0,134974.0,2996,1254
2022-01-31,191.0,1.0,20.0,37.0,57.0,134974.0,3209,953
2022-01-30,139.0,1.0,15.0,21.0,27.0,134974.0,2379,725
2022-01-29,127.0,4.0,33.0,95.0,64.0,134974.0,1867,730
2022-01-28,149.0,0.0,32.0,61.0,82.0,134974.0,2601,908
2022-01-27,155.0,1.0,26.0,30.0,125.0,134974.0,3035,1205
2022-01-26,170.0,0.0,31.0,43.0,51.0,134974.0,3345,1233
2022-01-25,214.0,0.0,25.0,45.0,119.0,134974.0,3142,1258
2022-01-24,227.0,4.0,17.0,40.0,79.0,134974.0,3512,1109
2022-01-23,205.0,1.0,27.0,31.0,35.0,134974.0,2773,712
2022-01-22,133.0,1.0,30.0,82.0,109.0,134974.0,2384,865
2022-01-21,156.0,2.0,56.0,88.0,73.0,134974.0,2895,949
2022-01-20,195.0,0.0,32.0,36.0,71.0,134974.0,3523,1400
2022-01-19,236.0,1.0,37.0,32.0,49.0,134974.0,3899,1275
2022-01-18,256.0,2.0,46.0,33.0,204.0,134974.0,3573,1433
2022-01-17,322.0,0.0,32.0,38.0,72.0,134974.0,3894,1141
2022-01-16,249.0,2.0,35.0,47.0,41.0,134974.0,3035,805
2022-01-15,149.0,1.0,69.0,92.0,180.0,134974.0,2682,1100
2022-01-14,218.0,0.0,39.0,38.0,193.0,134974.0,3285,1199
2022-01-13,242.0,0.0,28.0,34.0,261.0,134974.0,3843,1402
2022-01-12,292.0,0.0,23.0,38.0,58.0,134974.0,4370,1670
2022-01-11,335.0,0.0,36.0,37.0,227.0,134974.0,4683,2450
2022-01-10,357.0,2.0,36.0,33.0,198.0,134974.0,5513,2627
2022-01-09,297.0,2.0,63.0,55.0,200.0,134974.0,4824,2295
2022-01-08,313.0,1.0,72.0,89.0,414.0,134974.0,3638,1897
2022-01-07,394.0,1.0,35.0,57.0,461.0,134974.0,4526,1826
2022-01-06,564.0,2.0,46.0,44.0,202.0,134974.0,6114,2368
2022-01-05,710.0,1.0,73.0,88.0,340.0,134974.0,5950,1889
2022-01-04,898.0,1.0,29.0,47.0,400.0,134974.0,5308,2103
2022-01-03,690.0,1.0,49.0,53.0,442.0,134974.0,4383,1620
2022-01-02,554.0,0.0,6.0,9.0,49.0,134974.0,4095,2039
2022-01-01,330.0,0.0,1.0,2.0,17.0,134974.0,3037,1130
2021-12-31,505.0,0.0,18.0,24.0,156.0,134974.0,4235,1506
2021-12-30,653.0,2.0,55.0,54.0,888.0,134974.0,3552,1161
2021-12-29,718.0,0.0,110.0,83.0,864.0,134974.0,4171,1543
2021-12-28,589.0,0.0,23.0,25.0,244.0,134974.0,3434,1426
2021-12-27,430.0,0.0,14.0,10.0,123.0,134974.0,3108,1195
2021-12-26,292.0,0.0,0.0,0.0,2.0,134974.0,3164,1393
2021-12-25,146.0,0.0,0.0,0.0,0.0,134974.0,2566,1010
2021-12-24,276.0,0.0,7.0,11.0,56.0,134974.0,3599,1583
2021-12-23,301.0,1.0,46.0,57.0,841.0,134974.0,3134,1254
2021-12-22,293.0,0.0,45.0,85.0,836.0,134974.0,3154,972
2021-12-21,222.0,0.0,47.0,103.0,2222.0,134974.0,2970,1257
2021-12-20,160.0,0.0,58.0,105.0,1582.0,134974.0,3070,934
2021-12-19,96.0,0.0,95.0,55.0,682.0,134974.0,3001,1182
2021-12-18,76.0,0.0,64.0,119.0,1940.0,134974.0,2698,1006
2021-12-17,82.0,0.0,67.0,120.0,1875.0,134974.0,3753,1656
2021-12-16,105.0,0.0,64.0,117.0,1390.0,134974.0,3243,1364
2021-12-15,112.0,1.0,53.0,67.0,1417.0,134974.0,3223,1294
2021-12-14,79.0,0.0,57.0,130.0,1857.0,134974.0,2717,1280
2021-12-13,86.0,0.0,41.0,53.0,1110.0,134974.0,3153,1341
2021-12-12,40.0,1.0,95.0,54.0,542.0,134974.0,2444,1082
2021-12-11,68.0,1.0,32.0,57.0,709.0,134974.0,1942,992
2021-12-10,60.0,0.0,35.0,51.0,691.0,134974.0,2464,1238
2021-12-09,63.0,0.0,34.0,74.0,753.0,134974.0,2860,1441
2021-12-08,63.0,1.0,30.0,76.0,795.0,134974.0,2661,1290
2021-12-07,71.0,0.0,26.0,42.0,465.0,134974.0,2582,1425
2021-12-06,83.0,1.0,38.0,78.0,745.0,134974.0,2788,1244
2021-12-05,47.0,0.0,64.0,52.0,635.0,134974.0,2418,1181
